tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
37682	Aegilops tauschii	109749032	0	live	LOC109749032		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		Un							
79200	Daucus carota subsp. sativus	108208383	0	live	LOC108208383		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	anthocyanin 5-aromatic acyltransferase-like|malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		2	NC_030382.1	24016539	24018312	plus	1		
3880	Medicago truncatula	11443795	0	live	MTR_3g028210	MTR_3g028210	anthocyanin 5-aromatic acyltransferase			3	NC_016409.2	8944365	8946148	minus	1		
3880	Medicago truncatula	11440819	0	live	MTR_2g018590	MTR_2g018590	1-O-acylglucose:anthocyanin acyltransferase			2	NC_016408.2	5856917	5861023	plus	14		
3880	Medicago truncatula	11437807	0	live	MTR_2g018600	MTR_2g018600	1-O-acylglucose:anthocyanin acyltransferase			2	NC_016408.2	5863708	5867966	plus	14		
3880	Medicago truncatula	11424167	0	live	MTR_7g014200	MTR_7g014200	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4250354	4251772	plus	1		
3880	Medicago truncatula	11414976	0	live	MTR_2g089650	MTR_2g089650	anthocyanin 5-aromatic acyltransferase			2	NC_016408.2	37895988	37897394	minus	1		
3880	Medicago truncatula	11414860	0	live	MTR_7g014250	MTR_7g014250	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4265289	4267223	plus	1		
3880	Medicago truncatula	11414542	0	live	MTR_4g015180	MTR_4g015180	anthocyanin 5-aromatic acyltransferase			4	NC_016410.2	4408980	4410894	plus	1		
3694	Populus trichocarpa	7479311	0	live	POPTR_0001s09450g	POPTR_0001s09450g, POPTRDRAFT_1066896	regulator of anthocyanin biosynthesis pathway family protein			LGI	NC_008467.2	7214427	7217955	plus	8		
3694	Populus trichocarpa	7465866	0	live	POPTR_0003s12810g	POPTR_0003s12810g, POPTRDRAFT_817360	regulator of anthocyanin biosynthesis pathway family protein			LGIII	NC_008469.2	13273502	13277041	plus	7		
29760	Vitis vinifera	100233025	0	live	MYCA1	VIT_00026927001	myc anthocyanin regulatory protein	myc anthocyanin regulatory protein		15	NC_012021.3	19338804	19344157	minus	8		
4577	Zea mays	541757	0	live	LOC541757	ZEAMMB73_Zm00001d044975, GRMZM2G005066, MYB1, Myb37, c1	anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like|Anthocyanin regulatory C1 protein|CI protein|MYB transcription factor|R2R3MYB-domain protein|colored aleurone1|myb-related protein c1-I-2K1|typical P-type R2R3 Myb protein		9	NC_024467.2	8983450	8984644	plus	3		
3880	Medicago truncatula	25500297	0	live	MTR_8g012750	MTR_8g012750	anthocyanin 5-aromatic acyltransferase			8	NC_016414.2	3782680	3784562	plus	1		
3880	Medicago truncatula	25497590	0	live	MTR_7g015860	MTR_7g015860	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4956291	4958011	minus	2		
3880	Medicago truncatula	25497529	0	live	MTR_7g014205	MTR_7g014205	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4255354	4255749	minus	2		
3880	Medicago truncatula	25497522	0	live	MTR_7g013850	MTR_7g013850	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4094681	4096416	plus	1		
3880	Medicago truncatula	25487570	0	live	MTR_2g089765	MTR_2g089765	anthocyanin 5-aromatic acyltransferase			2	NC_016408.2	37959925	37961930	minus	1		
3880	Medicago truncatula	25487568	0	live	MTR_2g089745	MTR_2g089745	anthocyanin 5-aromatic acyltransferase			2	NC_016408.2	37954354	37954605	minus	1		
3880	Medicago truncatula	25487566	0	live	MTR_2g089665	MTR_2g089665	anthocyanin 5-aromatic acyltransferase			2	NC_016408.2	37906478	37907816	plus	4		
3880	Medicago truncatula	11430713	0	live	MTR_7g014310	MTR_7g014310	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4284311	4285530	minus	4		
3880	Medicago truncatula	11430311	0	live	MTR_7g014330	MTR_7g014330	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4288842	4290405	minus	1		
3880	Medicago truncatula	11429194	0	live	MTR_7g014340	MTR_7g014340	anthocyanin acyltransferase, putative			7	NC_016413.2	4292205	4293703	minus	2		
3880	Medicago truncatula	11427752	0	live	MTR_2g089670	MTR_2g089670	anthocyanin 5-aromatic acyltransferase			2	NC_016408.2	37914581	37916032	plus	1		
3880	Medicago truncatula	11425100	0	live	MTR_7g014160	MTR_7g014160	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4233212	4234958	plus	1		
3880	Medicago truncatula	11424168	0	live	MTR_7g014360	MTR_7g014360	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4297554	4299243	minus	3		
3880	Medicago truncatula	11423210	0	live	MTR_3g100420	MTR_3g100420	1-O-acylglucose:anthocyanin acyltransferase			3	NC_016409.2	46175821	46185588	minus	13		
3880	Medicago truncatula	11421565	0	live	MTR_7g014180	MTR_7g014180	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4241090	4241653	plus	1		
3880	Medicago truncatula	11418791	0	live	MTR_7g014230	MTR_7g014230	anthocyanin 5-aromatic acyltransferase			7	NC_016413.2	4259747	4261830	plus	1		
3880	Medicago truncatula	11418790	0	live	MTR_7g014210	MTR_7g014210	anthocyanin acyltransferase, putative			7	NC_016413.2	4257528	4258193	minus	2		
3880	Medicago truncatula	11414606	0	live	MTR_4g021530	MTR_4g021530	1-O-acylglucose:anthocyanin acyltransferase			4	NC_016410.2	7043859	7049901	plus	14		
3880	Medicago truncatula	11414299	0	live	MTR_4g021510	MTR_4g021510	1-O-acylglucose:anthocyanin acyltransferase			4	NC_016410.2	7024848	7029797	plus	15		
39947	Oryza sativa Japonica Group	4340108	0	live	LOC4340108	OSNPB_060145600, P0036F10.9	anthocyanin 5-aromatic acyltransferase	anthocyanin 5-aromatic acyltransferase|OSJNBa0007O20.26|Os06g0145600|putative anthocyanin 5-aromatic acyltransferase		6	NC_029261.1	2394761	2397662	plus	2		
39947	Oryza sativa Japonica Group	4336634	0	live	LOC4336634	OSNPB_040557200	anthocyanin regulatory R-S protein	anthocyanin regulatory R-S protein|Os04g0557200		4	NC_029259.1	27881108	27890773	minus	10		
3694	Populus trichocarpa	7494226	0	live	POPTR_0019s14060g	POPTR_0019s14060g, POPTRDRAFT_574583	anthocyanin acyltransferase family protein			LGXIX	NC_008485.2	14820628	14822147	plus	1		
981085	Morus notabilis	21409982	0	live	L484_027360	L484_027360	Anthocyanin regulatory C1 protein			Unknown							
981085	Morus notabilis	21405030	0	live	L484_022208	L484_022208	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21405029	0	live	L484_022207	L484_022207	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21405028	0	live	L484_022206	L484_022206	Malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase			Unknown							
981085	Morus notabilis	21405026	0	live	L484_022204	L484_022204	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21403908	0	live	L484_021041	L484_021041	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21403907	0	live	L484_021040	L484_021040	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21403906	0	live	L484_021039	L484_021039	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21403905	0	live	L484_021038	L484_021038	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21403900	0	live	L484_021033	L484_021033	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21401937	0	live	L484_018982	L484_018982	Malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase			Unknown							
981085	Morus notabilis	21401936	0	live	L484_018981	L484_018981	Malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase			Unknown							
981085	Morus notabilis	21401934	0	live	L484_018979	L484_018979	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21401931	0	live	L484_018976	L484_018976	Malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase			Unknown							
981085	Morus notabilis	21401556	0	live	L484_018589	L484_018589	Anthocyanin regulatory C1 protein			Unknown							
981085	Morus notabilis	21390052	0	live	L484_006627	L484_006627	Malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase			Unknown							
981085	Morus notabilis	21390051	0	live	L484_006626	L484_006626	Malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase			Unknown							
981085	Morus notabilis	21388109	0	live	L484_004611	L484_004611	Anthocyanin 5-aromatic acyltransferase			Unknown							
981085	Morus notabilis	21384923	0	live	L484_001317	L484_001317	Anthocyanin regulatory C1 protein			Unknown							
981085	Morus notabilis	21384441	0	live	L484_000819	L484_000819	Anthocyanin 5-aromatic acyltransferase			Unknown							
39947	Oryza sativa Japonica Group	4344783	0	live	LOC4344783	OSNPB_080174300	anthocyanin 5-aromatic acyltransferase	anthocyanin 5-aromatic acyltransferase|OSJNBa0054L03.25|Os08g0174300|putative Anthocyanin 5-aromatic acyltransferase		8	NC_029263.1	4325845	4329882	plus	2		
39947	Oryza sativa Japonica Group	4336636	0	live	LOC4336636	OSNPB_040557800, Ra	anthocyanin regulatory Lc protein	anthocyanin regulatory Lc protein|Os04g0557800|putative anthocyanin regulatory Lc protein		4	NC_029259.1	27949439	27955302	minus	10		
4097	Nicotiana tabacum	107782063	0	live	LOC107782063	mat1	anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like|malonyltransferase		Un							
49451	Nicotiana attenuata	109237388	0	live	LOC109237388	A4A49_13429, 5MAT1_3	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like|malonyl-coenzyme:anthocyanin 5-o-glucoside-6'''-o-malonyltransferase		Un							
4577	Zea mays	100281156	0	live	LOC100281156		anthocyanin regulatory C1 protein	anthocyanin regulatory C1 protein									
37682	Aegilops tauschii	109763567	0	live	LOC109763567		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		Un							
3821	Cajanus cajan	109809057	0	live	LOC109809057	KK1_000251	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like|Anthocyanin 5-aromatic acyltransferase		11	NC_033814.1	2335575	2336987	minus	1		
3821	Cajanus cajan	109800539	0	live	LOC109800539	KK1_013470	anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like|Anthocyanin regulatory C1 protein		6	NC_033809.1	21192261	21193420	plus	3		
49451	Nicotiana attenuata	109218149	0	live	LOC109218149	A4A49_34586, 5MAT1_4	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like|malonyl-coenzyme:anthocyanin 5-o-glucoside-6'''-o-malonyltransferase		Un							
49451	Nicotiana attenuata	109211011	0	live	LOC109211011	A4A49_39356, 5MAT1_2	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like|malonyl-coenzyme:anthocyanin 5-o-glucoside-6'''-o-malonyltransferase		Un							
4533	Oryza brachyantha	102717978	0	live	LOC102717978		anthocyanin regulatory Lc protein-like	anthocyanin regulatory Lc protein-like		4	NC_023166.1	15432335	15441834	minus	10		
4533	Oryza brachyantha	102706748	0	live	LOC102706748		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		4	NC_023166.1	15414001	15421334	minus	9		
4533	Oryza brachyantha	102706469	0	live	LOC102706469		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		4	NC_023166.1	15391780	15400102	minus	10		
3641	Theobroma cacao	18614640	0	live	LOC18614640		anthocyanin 5-aromatic acyltransferase	anthocyanin 5-aromatic acyltransferase		1	NC_030850.1	37096951	37099678	minus	3		
39947	Oryza sativa Japonica Group	4350228	0	live	LOC4350228	OSNPB_110258700	anthocyanin regulatory Lc protein	anthocyanin regulatory Lc protein|Os11g0258700|Os11g0258800		11	NC_029266.1	8583856	8594318	minus	8		
29760	Vitis vinifera	100249426	0	live	LOC100249426	VIT_00000472001	anthocyanin 5-aromatic acyltransferase	anthocyanin 5-aromatic acyltransferase		12	NC_012018.3	8295339	8296832	plus	1		
29760	Vitis vinifera	100268149	0	live	LOC100268149	VIT_00028879001	anthocyanin permease 1	anthocyanin permease 1		16	NC_012022.3	17837265	17840061	minus	6		
39947	Oryza sativa Japonica Group	4326578	0	live	LOC4326578	OSNPB_010638000	anthocyanin 3'-O-beta-glucosyltransferase	anthocyanin 3'-O-beta-glucosyltransferase|Os01g0638000|P0004A09.11|P0696E01.32|glucosyltransferase IS5a-like		1	NC_029256.1	25598433	25600370	plus	1		
4113	Solanum tuberosum	102577895	0	live	AN2		anthocyanin 2										
15368	Brachypodium distachyon	100837291	0	live	LOC100837291	BRADI_4g15480	anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		4	NC_016134.2	16214651	16216176	minus	1		
3847	Glycine max	100817166	0	live	LOC100817166	GLYMA_19G069500	anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		19	NC_016106.2	22337531	22338967	plus	1		
3847	Glycine max	100813271	0	live	LOC100813271	GLYMA_12G200000	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		12	NC_016099.2	36131493	36133252	minus	1		
29760	Vitis vinifera	100256273	0	live	LOC100256273		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase		12	NC_012018.3	8260866	8262480	plus	1		
39947	Oryza sativa Japonica Group	9268204	0	live	LOC9268204	OSNPB_010289900	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase|Os01g0289900|P0469E05.26|acyltransferase -like		1	NC_029256.1	10488745	10491218	minus	2		
3988	Ricinus communis	8260777	0	live	LOC8260777	RCOM_1523650	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase		Un							
39947	Oryza sativa Japonica Group	4340430	0	live	LOC4340430	OSNPB_060205100, C, C1	anthocyanin regulatory C1 protein	anthocyanin regulatory C1 protein|Myb protein|OSJNBb0015B15.17|Os06g0205100		6	NC_029261.1	5315178	5316851	plus	3		
39947	Oryza sativa Japonica Group	4323850	0	live	LOC4323850	OSNPB_010577300, P0013G02.6	anthocyanin regulatory R-S protein	anthocyanin regulatory R-S protein|Os01g0577300|P0022F12.30|regulatory protein B-Peru-like		1	NC_029256.1	22301233	22333335	plus	10		
39947	Oryza sativa Japonica Group	4323849	0	live	LOC4323849	OSNPB_010576100, P0022F12.4	anthocyanin regulatory R-S protein	anthocyanin regulatory R-S protein|B1112D09.28|Os01g0576100|regulatory protein B-Peru-like|transcription activator-like		1	NC_029256.1	22215593	22241305	plus	8		
29760	Vitis vinifera	100261365	0	live	LOC100261365	VIT_00000469001	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase		12	NC_012018.3	8266607	8268173	plus	2		
180498	Jatropha curcas	105628686	0	live	LOC105628686	JCGZ_16744	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase		Un							
4641	Musa acuminata	103986943	0	live	LOC103986943		anthocyanin regulatory C1 protein	anthocyanin regulatory C1 protein		6	NC_025207.1	3004466	3005706	minus	3		
4182	Sesamum indicum	105178617	0	live	LOC105178617		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		LG16	NC_026160.1	1694640	1696185	plus	1		
4182	Sesamum indicum	105178540	0	live	LOC105178540		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase		LG16	NC_026160.1	1720488	1721858	plus	1		
4081	Solanum lycopersicum	100191129	0	live	LOC100191129		anthocyanin acyltransferase	anthocyanin acyltransferase		12	NC_015449.2	63622288	63624328	plus	3		
4182	Sesamum indicum	105171521	0	live	LOC105171521		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		LG1	NC_026145.1	17158802	17160462	plus	1		
4182	Sesamum indicum	105162670	0	live	LOC105162670		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		LG5	NC_026149.1	16079958	16081467	minus	1		
4182	Sesamum indicum	105162667	0	live	LOC105162667		anthocyanin 5-aromatic acyltransferase	anthocyanin 5-aromatic acyltransferase		LG5	NC_026149.1	15861763	15863130	plus	1		
4577	Zea mays	103647250	0	live	LOC103647250	GRMZM2G341253, GRMZM2G436404	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	anthocyanin 5-aromatic acyltransferase		2							
4577	Zea mays	100285289	0	live	LOC100285289	ZEAMMB73_Zm00001d008695, GRMZM2G143274	anthocyanin regulatory C1 protein	anthocyanin regulatory C1 protein|putative MYB DNA-binding domain superfamily protein		8	NC_024466.2	17318210	17319378	minus	2		
4577	Zea mays	100281179	0	live	LOC100281179	ZEAMMB73_Zm00001d051892, GRMZM2G075513	anthocyanin 5-aromatic acyltransferase	anthocyanin 5-aromatic acyltransferase		4	NC_024462.2	173824183	173826045	plus	1		
39947	Oryza sativa Japonica Group	4333088	0	live	LOC4333088		anthocyanin regulatory C1 protein	anthocyanin regulatory C1 protein		3	NC_029258.1	16879272	16883693	minus	3		
37682	Aegilops tauschii	109784691	0	live	LOC109784691		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
37682	Aegilops tauschii	109776503	0	live	LOC109776503		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		Un							
37682	Aegilops tauschii	109773811	0	live	LOC109773811		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
37682	Aegilops tauschii	109773135	0	live	LOC109773135		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		Un							
37682	Aegilops tauschii	109771082	0	live	LOC109771082		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
37682	Aegilops tauschii	109769828	0	live	LOC109769828		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		Un							
37682	Aegilops tauschii	109763504	0	live	LOC109763504		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		Un							
37682	Aegilops tauschii	109756141	0	live	LOC109756141		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
37682	Aegilops tauschii	109746679	0	live	LOC109746679		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
37682	Aegilops tauschii	109746671	0	live	LOC109746671		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
37682	Aegilops tauschii	109742657	0	live	LOC109742657		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		Un							
37682	Aegilops tauschii	109741605	0	live	LOC109741605		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		Un							
37682	Aegilops tauschii	109737442	0	live	LOC109737442		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
130454	Arachis ipaensis	107637357	0	live	LOC107637357		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		B04	NC_029788.1	129084310	129085089	minus	1		
130454	Arachis ipaensis	107614516	0	live	LOC107614516		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		B08	NC_029792.1	7663241	7664723	minus	1		
142615	Dendrobium catenatum	110115775	0	live	LOC110115775		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
142615	Dendrobium catenatum	110111368	0	live	LOC110111368		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		Un							
142615	Dendrobium catenatum	110109270	0	live	LOC110109270		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
142615	Dendrobium catenatum	110104578	0	live	LOC110104578		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		Un							
142615	Dendrobium catenatum	110099691	0	live	LOC110099691		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
142615	Dendrobium catenatum	110098991	0	live	LOC110098991		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
142615	Dendrobium catenatum	110098892	0	live	LOC110098892		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		Un							
142615	Dendrobium catenatum	110098619	0	live	LOC110098619		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like|phenolic glucoside malonyltransferase 2-like		Un							
142615	Dendrobium catenatum	110098588	0	live	LOC110098588		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		Un							
78828	Phalaenopsis equestris	110038512	0	live	LOC110038512		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
78828	Phalaenopsis equestris	110034570	0	live	LOC110034570		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
78828	Phalaenopsis equestris	110034233	0	live	LOC110034233		anthocyanin 5-aromatic acyltransferase	anthocyanin 5-aromatic acyltransferase		Un							
78828	Phalaenopsis equestris	110032926	0	live	LOC110032926		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		Un							
78828	Phalaenopsis equestris	110019644	0	live	LOC110019644		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	LOW QUALITY PROTEIN: malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		Un							
4686	Asparagus officinalis	109833894	0	live	LOC109833894		anthocyanin 5-aromatic acyltransferase-like	LOW QUALITY PROTEIN: anthocyanin 5-aromatic acyltransferase-like		3	NC_033796.1	40079743	40089482	plus	2		
4686	Asparagus officinalis	109828112	0	live	LOC109828112	A4U43_UnF10310	anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
4686	Asparagus officinalis	109821456	0	live	LOC109821456	A4U43_C08F22120	anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		8	NC_033801.1	83989205	83990948	plus	4		
